iter	Logloss
0	0.2993914527
1	0.2345311391
2	0.199950532
3	0.1906972848
4	0.1871019448
5	0.1847605722
6	0.1824740052
7	0.1818354805
8	0.181116252
9	0.1806461314
10	0.1805074426
11	0.1798801968112	0.1795878007113	0.1792527989114	0.1787736488115	0.1785310017116	0.1782448843117	0.1780309708118	0.1779536586119	0.1779047546220	0.177748163
21	0.1777427484222	0.177631156223	0.1775867996224	0.1775287752525	0.1773742372626	0.1772646722727	0.1771132692828	0.1770614522929	0.1769217033030	0.1768523263131	0.1767220753232	0.1765894283333	0.1765327763434	0.1764874
35	0.1764307413
36	0.1763982323
37	0.1763889772
38	0.1763679081
39	0.1763118662
40	0.1762780769
41	0.1762461882
42	0.1761440004
43	0.1761273938
44	0.1760522291
45	0.1759714115
46	0.1758943507
47	0.1758863679
48	0.175876902
49	0.1758306823
50	0.1757930767
51	0.175792804
52	0.1757049151
53	0.1756950812
54	0.1756195475
55	0.1755870458
56	0.1755151483
57	0.1754717814
58	0.1754469734
59	0.1753981175
60	0.1753687466
61	0.1753537185
62	0.1753303809
63	0.1753191078
64	0.1753046263
65	0.1752493665
66	0.1752093122
67	0.1751415453
68	0.1750722054
69	0.1750534193
70	0.1750239367
71	0.1749660755
72	0.1749261515
73	0.1748948045
74	0.1748578433
75	0.1747767108
76	0.1747589657
77	0.1747499285
78	0.1747398853
79	0.1747289413

6

