iter	Passed	Remaining
0	1906	150579
1	3061	119388
2	4291	110136
3	5478	104082
4	6666	100001
5	7844	96746
6	9127	95190
7	10187	91691
8	11438	90235
9	12639	88475
10	13936	87417
11	15397	87250
12	16825	86715
13	18469	87069
14	20215	87601
15	21498	85993
16	22634	83880
17	23799	81975
18	25709	82539
19	27246	81738
20	28718	80685
21	30844	81317
22	32090	79529
23	33752	78755
24	35310	77682
25	36518	75846
26	37692	73989
27	38821	72097
28	40157	70622
29	41428	69046
30	42669	67445
31	43766	65649
32	45046	64156
33	46449	62843
34	47871	61548
35	49193	60125
36	50595	58799
37	51900	57363
38	53213	55942
39	54692	54692
40	56048	53314
41	57358	51895
42	58588	50413
43	59820	48943
44	61361	47725
45	62735	46369
46	64184	45065
47	65780	43853
48	67430	42660
49	68761	41256
50	70102	39862
51	71572	38538
52	72899	37137
53	74222	35736
54	75410	34277
55	76988	32994
56	78143	31531
57	79345	30096
58	80511	28656
59	81758	27252
60	83115	25888
61	84567	24551
62	85998	23205
63	87450	21862
64	88714	20472
65	90089	19109
66	91244	17704
67	92587	16339
68	93782	14950
69	95014	13573
70	96451	12226
71	97868	10874
72	99387	9530
73	100910	8181
74	102551	6836
75	103898	5468
76	105130	4096
77	106332	2726
78	107618	1362
79	108879	0
