iter	Logloss
0	0.6556295762
1	0.6219877998
2	0.5900319519
3	0.5606143519
4	0.5343138166
5	0.5100754802
6	0.4870363119
7	0.4665074736
8	0.4475992273
9	0.4301842098
10	0.4135744293
11	0.3983099058
12	0.3847569638
13	0.3722690567
14	0.3607597959
15	0.3501498986
16	0.3403663817
17	0.3309421854
18	0.3226346966
19	0.3149664746
20	0.3075405399
21	0.3010155744
22	0.2949859117
23	0.28941172
24	0.2812462532
25	0.273912614
26	0.2671963467
27	0.2610319823
28	0.2553706616
29	0.2502244309
30	0.2454589066
31	0.2410773085
32	0.2370777441
33	0.2332227962
34	0.2298506513
35	0.2267148042
36	0.2235115423
37	0.2205281382
38	0.2176921677
39	0.2150907399
40	0.2127272088
41	0.2105438843
42	0.208536488
43	0.2067381112
44	0.2050059544
45	0.203378577
46	0.2019007922
47	0.2005233076
48	0.1992714907
49	0.1980660648
50	0.1969420526
51	0.1959554797
52	0.1950071094
53	0.1941400516
54	0.1933336946
55	0.1925472977
56	0.1918011903
57	0.1911190059
58	0.1904872073
59	0.1899304808
60	0.1893832175
61	0.1888784372
62	0.1883852171
63	0.1879228443
64	0.1875067181
65	0.1871205333
66	0.186740057
67	0.1864219056
68	0.1860890336
69	0.1857776405
70	0.1854828835
71	0.185158034
72	0.1848767604
73	0.1846004714
74	0.1843335089
75	0.1840681006
76	0.1838629744
77	0.1836415329
78	0.183413659
79	0.1831951074
80	0.1830115007
81	0.1828340597
82	0.1826645678
83	0.1825154823
84	0.1823594412
85	0.1822287955
86	0.1820843765
87	0.1819489609
88	0.1818156975
89	0.1817008542
90	0.1815817372
91	0.1814337544
92	0.181323292
93	0.1812087985
94	0.1811094445
95	0.1809985711
96	0.1809024737
97	0.1808176231
98	0.1807324004
99	0.18063004
100	0.1805540207
101	0.1804832619
102	0.1804000223
103	0.1803211832
104	0.1802527286
105	0.1802055687
106	0.1801474541
107	0.1800802374
108	0.1800272671
109	0.1799832283
110	0.1799081303
111	0.179840594
112	0.1797661572
113	0.1796925446
114	0.1796296903
115	0.1796033267
116	0.1795451298
117	0.1795071428
118	0.1794565776
119	0.1794004288
120	0.1793497865
121	0.1792985007
122	0.1792637915
123	0.1791989211
124	0.1791626721
125	0.1791161617
126	0.1790694857
127	0.1790347969
128	0.1790026262
129	0.1789668227
130	0.1789185427
131	0.1788699242
132	0.1788417983
133	0.1788100432
134	0.1787649788
135	0.1787343558
136	0.1786948005
137	0.1786545579
138	0.1786160519
139	0.178582969
140	0.1785510417
141	0.1785022529
142	0.1784797932
143	0.1784412503
144	0.1784170167
145	0.1783848429
146	0.1783422465
147	0.1783129942
148	0.1782703914
149	0.178256496
150	0.1782270863
151	0.1782060724
152	0.1781849534
153	0.1781653351
154	0.1781466382
155	0.1781181296
156	0.1780826008
157	0.178069223
158	0.1780341825
159	0.1779920717
160	0.1779768025
161	0.1779535553
162	0.1779382808
163	0.1779178954
164	0.1778979759
165	0.1778777707
166	0.1778597171
167	0.1778456674
168	0.1778153747
169	0.1777940121
170	0.1777830708
171	0.1777654983
172	0.1777500689
173	0.1777253984
174	0.177698732
175	0.177673787
176	0.1776626891
177	0.1776499693
178	0.1776361281
179	0.1776207982
180	0.1776040253
181	0.1775854776
182	0.1775677141
183	0.1775543116
184	0.1775378929
185	0.1775170007
186	0.1774801608
187	0.1774637053
188	0.1774551693
189	0.1774241672
190	0.1774100195
191	0.1773832091
192	0.1773742323
193	0.1773673303
194	0.1773473608
195	0.1773348435
196	0.1773102617
197	0.1772933638
198	0.177278775
199	0.1772734337
