iter	Logloss_SumError	Logloss_SumWeight
0	58431.39633	88966
1	55443.43893	88966
2	52685.66234	88966
3	50142.09587	88966
4	47796.82684	88966
5	45635.36244	88966
6	43643.50947	88966
7	41808.57511	88966
8	40118.63792	88966
9	38562.08751	88966
10	37128.28978	88966
11	35807.39889	88966
12	34590.51461	88966
13	33469.25066	88966
14	32435.87053	88966
15	31483.26316	88966
16	30604.86289	88966
17	29794.65009	88966
18	29047.09004	88966
19	28357.1023	88966
20	27720.03142	88966
21	27131.60245	88966
22	26587.8857	88966
23	26085.29097	88966
24	25324.61453	88966
25	24660.36508	88966
26	24016.73759	88966
27	23429.35299	88966
28	22916.4678	88966
29	22445.9859	88966
30	21996.2297	88966
31	21600.14893	88966
32	21193.13202	88966
33	20819.95397	88966
34	20495.99131	88966
35	20181.53381	88966
36	19877.61131	88966
37	19594.60601	88966
38	19338.0308	88966
39	19099.32433	88966
40	18880.06588	88966
41	18678.62706	88966
42	18493.0786	88966
43	18318.7252	88966
44	18161.24392	88966
45	18015.84031	88966
46	17880.66894	88966
47	17756.67826	88966
48	17639.49782	88966
49	17531.23024	88966
50	17432.43588	88966
51	17339.29516	88966
52	17256.11171	88966
53	17175.52324	88966
54	17111.40931	88966
55	17039.45001	88966
56	16975.44126	88966
57	16914.02534	88966
58	16857.4232	88966
59	16804.97069	88966
60	16756.44155	88966
61	16710.50128	88966
62	16667.16538	88966
63	16626.10943	88966
64	16597.4903	88966
65	16563.61332	88966
66	16533.38224	88966
67	16503.58141	88966
68	16475.68543	88966
69	16450.82901	88966
70	16424.84055	88966
71	16399.72739	88966
72	16376.39542	88966
73	16356.63449	88966
74	16335.39849	88966
75	16319.86529	88966
76	16302.86921	88966
77	16286.16735	88966
78	16268.73069	88966
79	16253.21417	88966
80	16239.11919	88966
81	16223.5931	88966
82	16209.26898	88966
83	16196.76201	88966
84	16184.45888	88966
85	16173.47232	88966
86	16164.50049	88966
87	16154.47374	88966
88	16147.02736	88966
89	16136.94071	88966
90	16125.30278	88966
91	16115.89242	88966
92	16107.57303	88966
93	16098.93557	88966
94	16091.3476	88966
95	16082.10828	88966
96	16074.84468	88966
97	16068.28464	88966
98	16059.96438	88966
99	16053.53052	88966
100	16047.37496	88966
101	16039.42628	88966
102	16033.16112	88966
103	16024.28114	88966
104	16018.57982	88966
105	16013.67244	88966
106	16007.42089	88966
107	15999.47181	88966
108	15992.93772	88966
109	15985.50564	88966
110	15979.55861	88966
111	15975.1219	88966
112	15968.63426	88966
113	15961.35253	88966
114	15953.86976	88966
115	15949.25964	88966
116	15943.8948	88966
117	15936.37978	88966
118	15930.88151	88966
119	15926.48892	88966
120	15921.31867	88966
121	15916.95072	88966
122	15910.01217	88966
123	15905.0588	88966
124	15900.3241	88966
125	15895.67468	88966
126	15891.62799	88966
127	15887.35128	88966
128	15882.84246	88966
129	15879.39559	88966
130	15874.19363	88966
131	15869.04352	88966
132	15866.6787	88966
133	15862.9812	88966
134	15857.45344	88966
135	15854.1047	88966
136	15851.36433	88966
137	15847.88132	88966
138	15843.26177	88966
139	15841.40003	88966
140	15836.83124	88966
141	15832.91285	88966
142	15829.16613	88966
143	15824.80084	88966
144	15823.00381	88966
145	15818.59628	88966
146	15816.08481	88966
147	15814.46167	88966
148	15812.43394	88966
149	15811.4817	88966
150	15808.92527	88966
151	15806.1115	88966
152	15804.65346	88966
153	15801.66558	88966
154	15797.99737	88966
155	15796.34129	88966
156	15793.02435	88966
157	15791.74667	88966
158	15790.36527	88966
159	15788.71205	88966
160	15785.98007	88966
161	15784.9713	88966
162	15784.43766	88966
163	15782.49188	88966
164	15780.48827	88966
165	15777.27157	88966
166	15775.8748	88966
167	15773.09328	88966
168	15771.61187	88966
169	15771.25962	88966
170	15769.48916	88966
171	15767.6163	88966
172	15765.30378	88966
173	15762.77833	88966
174	15759.92103	88966
175	15757.97257	88966
176	15756.25562	88966
177	15755.15538	88966
178	15753.83447	88966
179	15752.78716	88966
180	15751.55904	88966
181	15749.23567	88966
182	15748.17705	88966
183	15746.74213	88966
184	15744.47968	88966
185	15742.64479	88966
186	15741.63955	88966
187	15740.91914	88966
188	15738.43411	88966
189	15737.98306	88966
190	15735.95723	88966
191	15733.77259	88966
192	15733.19677	88966
193	15731.77949	88966
194	15730.24669	88966
195	15729.55581	88966
196	15728.67528	88966
197	15726.87852	88966
198	15724.42267	88966
199	15723.96031	88966
