iter	Passed	Remaining
0	280	55830
1	465	46122
2	738	48463
3	907	44453
4	1136	44311
5	1278	41347
6	1456	40145
7	1662	39892
8	1814	38503
9	1923	36544
10	2063	35461
11	2278	35696
12	2435	35030
13	2631	34965
14	2818	34766
15	2959	34032
16	3128	33678
17	3299	33358
18	3426	32642
19	3527	31747
20	3712	31641
21	3852	31169
22	3988	30692
23	4089	29992
24	4392	30744
25	4633	31010
26	4784	30657
27	5023	30857
28	5250	30962
29	5448	30874
30	5613	30600
31	5792	30410
32	5974	30236
33	6233	30435
34	6447	30395
35	6571	29938
36	6887	30340
37	7136	30422
38	7397	30538
39	7669	30679
40	7919	30711
41	8185	30793
42	8497	31025
43	8852	31384
44	9325	32120
45	9752	32650
46	10021	32624
47	10355	32792
48	10744	33109
49	11070	33210
50	11420	33365
51	11722	33363
52	11943	33126
53	12232	33072
54	12503	32964
55	12875	33107
56	13188	33087
57	13548	33170
58	13778	32927
59	14116	32939
60	14325	32642
61	14746	32823
62	15015	32653
63	15227	32358
64	15467	32124
65	15751	31980
66	15987	31736
67	16199	31445
68	16403	31142
69	16654	30929
70	16859	30631
71	17182	30545
72	17456	30368
73	17742	30209
74	18053	30088
75	18385	29997
76	18615	29736
77	18936	29618
78	19341	29624
79	19770	29655
80	20020	29412
81	20321	29243
82	20537	28951
83	20916	28884
84	21263	28767
85	21714	28784
86	21968	28533
87	22189	28241
88	22486	28044
89	22734	27787
90	22962	27504
91	23318	27374
92	23601	27154
93	23904	26955
94	24308	26867
95	24690	26747
96	25162	26718
97	25430	26468
98	25708	26227
99	26016	26016
100	26428	25905
101	26706	25659
102	26952	25382
103	27195	25103
104	27541	24918
105	27846	24693
106	28124	24444
107	28426	24215
108	28675	23940
109	28940	23678
110	29422	23590
111	29916	23505
112	30351	23368
113	30914	23321
114	31486	23272
115	31800	23028
116	32103	22774
117	32334	22470
118	32567	22167
119	32986	21991
120	33433	21828
121	33860	21648
122	34273	21455
123	34541	21170
124	34945	20967
125	35368	20771
126	35746	20547
127	36203	20364
128	36649	20171
129	37075	19963
130	37424	19712
131	37776	19460
132	38073	19179
133	38473	18949
134	38859	18710
135	39310	18499
136	39805	18304
137	40276	18095
138	40698	17860
139	41184	17650
140	41632	17420
141	41940	17130
142	42387	16895
143	42712	16610
144	43137	16362
145	43484	16083
146	43776	15783
147	44182	15523
148	44500	15231
149	44820	14940
150	45253	14684
151	45722	14438
152	46129	14170
153	46609	13922
154	47070	13665
155	47575	13418
156	48088	13170
157	48524	12899
158	48807	12585
159	49169	12292
160	49628	12021
161	50094	11750
162	50528	11469
163	50883	11169
164	51288	10879
165	51572	10563
166	52026	10280
167	52531	10006
168	52896	9702
169	53382	9420
170	53916	9143
171	54351	8847
172	54863	8562
173	55192	8247
174	55659	7951
175	56387	7689
176	56868	7389
177	57512	7108
178	57916	6794
179	58399	6488
180	59024	6195
181	59331	5867
182	59760	5551
183	60295	5243
184	60779	4928
185	61148	4602
186	61742	4292
187	62340	3979
188	62920	3662
189	63438	3338
190	63868	3009
191	64328	2680
192	64966	2356
193	65565	2027
194	66015	1692
195	66591	1359
196	67047	1021
197	67501	681
198	67872	341
199	68234	0
