iter	Passed	Remaining
0	122	12174
1	236	11602
2	292	9455
3	337	8109
4	399	7585
5	450	7050
6	552	7343
7	598	6886
8	664	6719
9	715	6440
10	764	6186
11	824	6044
12	875	5857
13	925	5685
14	982	5566
15	1036	5442
16	1096	5354
17	1156	5268
18	1208	5152
19	1258	5035
20	1306	4914
21	1362	4830
22	1412	4728
23	1461	4626
24	1513	4539
25	1581	4500
26	1650	4461
27	1699	4370
28	1752	4291
29	1808	4219
30	1863	4148
31	1934	4109
32	2000	4061
33	2074	4027
34	2157	4006
35	2261	4020
36	2321	3953
37	2390	3900
38	2467	3859
39	2544	3817
40	2613	3760
41	2688	3713
42	2758	3656
43	2832	3605
44	2891	3533
45	2947	3460
46	3008	3392
47	3064	3319
48	3118	3245
49	3172	3172
50	3231	3105
51	3278	3026
52	3334	2957
53	3384	2883
54	3438	2813
55	3494	2745
56	3557	2683
57	3614	2617
58	3687	2562
59	3757	2505
60	3827	2447
61	3903	2392
62	3971	2332
63	4035	2270
64	4113	2214
65	4181	2154
66	4254	2095
67	4312	2029
68	4375	1965
69	4452	1908
70	4558	1861
71	4632	1801
72	4707	1741
73	4788	1682
74	4847	1615
75	4906	1549
76	4966	1483
77	5037	1420
78	5097	1355
79	5156	1289
80	5237	1228
81	5299	1163
82	5356	1097
83	5417	1031
84	5493	969
85	5556	904
86	5607	837
87	5672	773
88	5736	708
89	5804	644
90	5864	580
91	5920	514
92	5985	450
93	6040	385
94	6088	320
95	6139	255
96	6193	191
97	6237	127
98	6300	63
99	6361	0
