iter	Logloss
0	0.3243240056
1	0.2460693674
2	0.2036908165
3	0.1913986196
4	0.1869277943
5	0.1840475504
6	0.1821442292
7	0.181467965
8	0.1808115185
9	0.1795729156
10	0.1789208869
11	0.1787118161
12	0.1784141402
13	0.1781707429
14	0.1779611019
15	0.1775202129
16	0.1773437519
17	0.1770069693
18	0.1769485917
19	0.176854334
20	0.1766808571
21	0.176551748
22	0.1765115001
23	0.1764901105
24	0.1764338497
25	0.1764257972
26	0.1763497322
27	0.1763415008
28	0.1762991949
29	0.1762726566
30	0.1761403938
31	0.1759946976
32	0.1759258726
33	0.1759241511
34	0.1758887996
35	0.1757751766
36	0.175719418
37	0.1756671078
38	0.1756495905
39	0.1756129884
40	0.1755968968
41	0.1755913012
42	0.1755742753
43	0.1755713761
44	0.1755487936
45	0.175460247
46	0.1754478447
47	0.1753465806
48	0.1751887038
49	0.1751376662
50	0.1751314192
51	0.1750719943
52	0.1750661301
53	0.1750490749
54	0.1750327271
55	0.1749939183
56	0.1749908483
57	0.1749830237
58	0.1749773446
59	0.1749619565
60	0.1749460582
61	0.1749251404
62	0.1749103631
63	0.1749076018
64	0.1748995525
65	0.174875612
66	0.1748742756
67	0.1748036515
68	0.1747868401
69	0.1747833785
70	0.1747660531
71	0.1747499587
72	0.1747293599
73	0.1747205416
74	0.1747123678
75	0.1746969929
76	0.1746755242
77	0.1746366062
78	0.1746088086
79	0.1745702238
80	0.1745603443
81	0.1745437438
82	0.1745055867
83	0.1744997009
84	0.1744895324
85	0.1744563891
86	0.1744268691
87	0.1744068584
88	0.1743848113
89	0.1743826723
90	0.1743785787
91	0.1743441807
92	0.1743267801
93	0.1742986095
94	0.1742532279
95	0.1742394702
96	0.1742362434
97	0.1742166209
98	0.1741993725
99	0.174185471
